ipc_section,bns_section,note
1,1,Short title
2,2,Punishment of offences committed within India
3,3,Punishment of offences committed beyond but which by law may be tried within India
4,4,Extension of Code to extra-territorial offences
5,5,Certain laws not to be affected by this Act
6,6,Definitions in the Code to be understood subject to exceptions
7,7,Sense of expression once explained
8,8,Gender
9,9,Number
10,10,Man and woman
11,11,Person
12,12,Public
13,13,Queen (omitted in BNS)
14,14,Servant of Government
15,15,British India (omitted in BNS)
17,16,Government
18,17,India
19,18,Judge
20,19,Court of Justice
21,20,Public servant
22,21,Movable property
23,22,Wrongful gain and wrongful loss
24,23,Gaining wrongfully / Losing wrongfully
25,24,Dishonestly
26,25,Fraudulently
27,26,Reason to believe
28,27,Property in possession of wife child or servant
29,28,Counterfeit
30,29,Document
31,30,Valuable security
32,31,A will
33,32,Words referring to acts include illegal omissions
34,34,Acts done by several persons in furtherance of common intention
35,35,When such an act is criminal by reason of its being done with a criminal knowledge or intention
36,36,Effect caused partly by act and partly by omission
37,37,Co-operation by doing one of several acts constituting an offence
38,38,Persons concerned in criminal act may be guilty of different offences
39,39,Voluntarily
40,40,Offence
41,41,Special law
42,42,Local law
43,43,Illegal and legally bound to do
44,44,Injury
45,45,Life
46,46,Death
47,47,Animal
48,48,Vessel
49,49,Year and Month
50,50,Section
51,51,Oath
52,52,Good faith
52A,53,Harbour
53,54,Punishments
54,55,Commutation of sentence of death
55,56,Commutation of sentence of imprisonment for life
55A,57,Fractions of terms of punishment
56,,Transportation (omitted in BNS — abolished)
57,58,Fractions of terms of punishment
58,59,Offenders sentenced to transportation how dealt with (omitted)
59,60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
60,61,Sentence of forfeiture of property
61,62,Sentence of fine only
62,63,Fine (omitted BNS — merged)
63,64,Sentence of imprisonment for non-payment of fine
64,65,Limit to imprisonment for non-payment of fine
65,66,Fine leviable within six years or during imprisonment
66,67,Imprisonment for non-payment of fine when offence punishable with fine only
67,68,Imprisonment to terminate on payment of fine
68,69,Termination of imprisonment on payment of proportional part of fine
69,70,Fine leviable within six years
70,71,Limit of punishment of offence made up of several offences
71,72,Punishment of person guilty of one of several offences the judgment stating that it is doubtful of which
72,73,Solitary confinement
73,74,Limit of solitary confinement
74,75,Enhanced punishment for certain offences after previous conviction
75,76,Act done by a person bound or by mistake of fact believing himself bound by law
76,77,Act of Judge when acting judicially
77,78,Act done pursuant to the judgment or order of Court
78,79,Act done by a person justified or by mistake of fact believing himself justified by law
79,80,Accident in doing a lawful act
80,81,Act likely to cause harm but done without criminal intent and to prevent other harm
81,82,Act of a child under seven years of age
82,83,Act of a child above seven and under twelve of immature understanding
83,84,Act of a person of unsound mind
84,85,Act of a person incapable of judgment by reason of intoxication caused against his will
85,86,Offence requiring a particular intent or knowledge committed by one who is intoxicated
86,87,Act not intended and not known to be likely to cause death or grievous hurt done by consent
87,88,Act not intended to cause death done by consent in good faith for person's benefit
88,89,Act done in good faith for benefit of child or insane person by or by consent of guardian
89,90,Consent known to be given under fear or misconception
90,91,Exclusion of acts which are offences independently of harm caused
91,92,Act done in good faith for benefit of a person without consent
92,93,Communication made in good faith
93,94,Act to which a person is compelled by threats
94,95,Act causing slight harm
95,96,Things done in private defence
96,97,Right of private defence of the body and of property
97,98,Right of private defence against the act of a person of unsound mind etc
98,99,Acts against which there is no right of private defence
99,100,When the right of private defence of the body extends to causing death
100,101,When such right extends to causing any harm other than death
101,102,Commencement and continuance of the right of private defence of the body
102,103,When the right of private defence of property extends to causing death
103,104,When such right extends to causing any harm other than death
104,105,Commencement and continuance of the right of private defence of property
105,106,Right of private defence against deadly assault when there is risk of harm to innocent person
106,107,Abetment of a thing
107,108,Abettor
108A,109,Abetment in India of offences outside India
109,110,Punishment of abetment if the act abetted is committed in consequence
110,111,Liability of abettor when one act abetted and different act done
111,112,Abettor when liable to cumulative punishment for act abetted and for act done
112,113,Liability of abettor for an effect caused by the act abetted different from that intended
113,114,Abettor present when offence is committed
114,115,Abetment of offence punishable with death or imprisonment for life
115,116,Abetment of offence punishable with imprisonment
116,117,Abetting commission of offence by the public or by more than ten persons
117,118,Concealing design to commit offence punishable with death or imprisonment for life
118,119,Public servant concealing design to commit offence which it is his duty to prevent
119,120,Concealing design to commit offence punishable with imprisonment
120A,61,Definition of criminal conspiracy
120B,62,Punishment of criminal conspiracy
121,147,Waging or attempting to wage war against the Government of India
121A,148,Conspiracy to commit offences punishable by section 147
122,149,Collecting arms etc with intention of waging war against the Government of India
123,150,Concealing with intent to facilitate design to wage war
124,151,Assaulting President Governor etc with intent to compel or restrain the exercise of any lawful power
124A,152,Sedition (renamed)
125,153,Waging war against Government of any Power in alliance or at peace with India
126,154,Committing depredation on territories of Power at peace with India
127,155,Receiving property taken by war or depredation mentioned in sections 153 and 154
128,156,Public servant voluntarily allowing prisoner of state or war to escape
129,157,Public servant negligently suffering such prisoner to escape
130,158,Aiding escape of rescuing or harbouring such prisoner
141,189,Unlawful assembly
142,190,Being member of unlawful assembly
143,191,Punishment
144,192,Joining unlawful assembly armed with deadly weapon
145,193,Joining or continuing in unlawful assembly knowing it has been commanded to disperse
146,194,Force or violence used by unlawful assembly
147,195,Punishment for rioting
148,196,Rioting armed with deadly weapon
149,197,Every member of unlawful assembly guilty of offence committed in prosecution of common object
150,198,Hiring or conniving at hiring of persons to join unlawful assembly
151,199,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse
152,200,Assaulting or obstructing public servant when suppressing riot etc
153A,196,Promoting enmity between different groups
159,191,Affray
160,192,Punishment of affray
161,,Bribery (now in Prevention of Corruption Act)
162,,Bribery (now in PCA)
163,,Bribery (now in PCA)
164,,Bribery (now in PCA)
165,,Gratification (now in PCA)
166,202,Public servant disobeying law with intent to cause injury to any person
166A,203,Public servant disobeying direction under law
167,204,Public servant framing an incorrect document with intent to cause injury
168,205,Public servant unlawfully engaging in trade
169,206,Public servant unlawfully buying or bidding for property
170,207,Personating a public servant
171,208,Wearing garb or carrying token used by public servant with fraudulent intent
171A,158,Candidate and electoral right defined
171B,159,Bribery
171C,160,Undue influence at elections
171D,161,Personation at elections
171E,162,Punishment for bribery
171F,163,Punishment for undue influence or personation at an election
171G,164,False statement in connection with an election
171H,165,Illegal payments in connection with an election
171I,166,Failure to keep election accounts
172,209,Absconding to avoid service of summons or other proceeding
173,210,Preventing service of summons or other proceeding or preventing publication thereof
174,211,Non-attendance in obedience to an order from public servant
174A,212,Non-appearance in response to a proclamation under section 82 CrPC (BNS 84)
175,213,Omission to produce document to public servant by person legally bound to produce it
176,214,Omission to give notice or information to public servant by person legally bound to give it
177,215,Furnishing false information
178,216,Refusing oath or affirmation when duly required by public servant to make it
179,217,Refusing to answer public servant authorised to question
180,218,Refusing to sign statement
181,219,False statement on oath or affirmation to public servant or person authorised to administer an oath
182,220,False information with intent to cause public servant to use his lawful power to the injury of another person
183,221,Resistance to the taking of property by the lawful authority of a public servant
184,222,Obstructing sale of property offered for sale by authority of public servant
185,223,Illegal purchase bid at sale under authority of public servant
186,224,Obstructing public servant in discharge of public functions
187,225,Omission to assist public servant when bound by law to give assistance
188,226,Disobedience to order duly promulgated by public servant
189,227,Threat of injury to public servant
190,228,Threat of injury to induce person to refrain from applying for protection to public servant
191,227,Giving false evidence
192,228,Fabricating false evidence
193,229,Punishment for false evidence
194,230,Giving or fabricating false evidence with intent to procure conviction of capital offence
195,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life
196,232,Using evidence known to be false
197,233,Issuing or signing false certificate
198,234,Using as true a certificate known to be false
199,235,False statement made in declaration which is by law receivable as evidence
200,236,Using as true such declaration knowing it to be false
201,237,Causing disappearance of evidence of offence or giving false information to screen offender
202,238,Intentional omission to give information of offence by person bound to inform
203,239,Giving false information respecting an offence committed
204,240,Destruction of document to prevent its production as evidence
205,241,False personation for purpose of act or proceeding in suit or criminal prosecution
206,242,Fraudulent removal or concealment of property to prevent its seizure as forfeiture or in execution
207,243,Fraudulent claim to property to prevent its seizure as forfeiture or in execution
208,244,Fraudulently suffering decree for sum not due
209,245,Dishonestly making false claim in court
210,246,Fraudulently obtaining decree for sum not due
211,247,False charge of offence made with intent to injure
212,248,Harbouring offender
213,249,Taking gift etc to screen an offender from punishment
214,250,Offering gift or restoration of property in consideration of screening offender
215,251,Taking gift to help to recover stolen property etc
216,252,Harbouring offender who has escaped from custody or whose apprehension has been ordered
216A,253,Penalty for harbouring robbers or dacoits
217,254,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture
218,255,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture
219,256,Public servant in judicial proceeding corruptly making report etc contrary to law
220,257,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law
221,258,Intentional omission to apprehend on the part of public servant bound to apprehend
222,259,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed
